item_id,gkc_aspect_perfect,gkc_aspect_progressive,gkc_be_passive,gkc_finite_past,gkc_finite_present,gkc_imperative,gkc_modal_can,gkc_modal_could,gkc_modal_may,gkc_modal_might,gkc_modal_must,gkc_modal_shall,gkc_modal_should,gkc_modal_will,gkc_modal_would,gkc_negation,gkc_non_subject_wh_question,gkc_polar_question
v1full070_gc_019f7fb10012b606_item_01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
v1full070_gc_019f7fb10012b606_item_02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
v1full070_gc_019f7fb10012b606_item_03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
v1full070_gc_019f7fb10012b606_item_04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
v1full070_gc_0397fa37f2228649_item_01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1full070_gc_0397fa37f2228649_item_02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1full070_gc_0397fa37f2228649_item_03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1full070_gc_0397fa37f2228649_item_04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v1full070_gc_04a854582c08aa84_item_01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_04a854582c08aa84_item_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_04a854582c08aa84_item_03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_04a854582c08aa84_item_04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_08d90a35b669ed28_item_01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
v1full070_gc_08d90a35b669ed28_item_02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
v1full070_gc_08d90a35b669ed28_item_03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
v1full070_gc_08d90a35b669ed28_item_04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
v1full070_gc_0bbfaece19d0255d_item_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
v1full070_gc_0bbfaece19d0255d_item_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
v1full070_gc_0bbfaece19d0255d_item_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
v1full070_gc_0bbfaece19d0255d_item_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
v1full070_gc_0ce5f41f37500df4_item_01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_0ce5f41f37500df4_item_02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_0ce5f41f37500df4_item_03,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_0ce5f41f37500df4_item_04,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_16d9f6e33f0517ec_item_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v1full070_gc_16d9f6e33f0517ec_item_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v1full070_gc_16d9f6e33f0517ec_item_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v1full070_gc_16d9f6e33f0517ec_item_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v1full070_gc_172c3f1039296750_item_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
v1full070_gc_172c3f1039296750_item_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
v1full070_gc_172c3f1039296750_item_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
v1full070_gc_172c3f1039296750_item_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
v1full070_gc_17fcb3b3c0156c98_item_01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_17fcb3b3c0156c98_item_02,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
v1full070_gc_17fcb3b3c0156c98_item_03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
